LINK,ACESSO,TÍTULO,ANO,TIPO,MÍDIA,LIVRO,EDITORA,REVISTA/PERIÓDICO,QUALIS,DOSSIÊ,INSTITUIÇÃO,ESTADO,REGIÃO,Nº AUTORIES,AUTORE 1,AUTORE 2,AUTORE 3,AUTORE 4,AUTORE 5,Área/Gênero
,,O Registro Civil de Pessoas Não Binárias e em Condição de Intersexo,2022,Capítulo de Livro,Impresso,"Gênero, etnia e sexualidade: políticas públicas e judiciárias",LiberArs,,,,,SP,Sudeste,1,Arlei Wiclif Leal da Silva,,,,,Direito
https://repositorio.usp.br/item/003047856,Livre,Identidades Legitimamente Diversas: um estudo pela visibilidade inclusiva da transgeneridade e da não binariedade de gênero,2022,Livro,Impresso,Identidades Legitimamente Diversas: um estudo pela visibilidade inclusiva da transgeneridade e da não binariedade de gênero,Appris,,,,,PR,Sul,1,Arlei Wiclif Leal da Silva,,,,,Direito
https://revista.unitins.br/index.php/humanidadeseinovacao/article/view/5128 ,Livre,Relato de experiência de um acadêmico não-binárie em um Programa Atividade Curricular de Extensão - PACE,2022,Artigo,Digital,,,Humanidades e Inovação,B2,,Unitins,TO,Norte,1,Thaís Mirian Helena Pantoja Tarabossi,,,,,Sociedade e Cultura na Amazônia
,,A deslegitimação da linguagem neutra como processo de negação de gênero não-binário,2022,Capítulo de Livro,Impresso,O conhecimento científico da Psicologia: diversidades teóricas produzidas no Centro Universitário Unigran Capital,Pedro & João Editores,,,,,SP,Sudeste,2,Renato Martins de Lima,"QUADROS, L. L",,,,Psicologia
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/45466,Livre,Além do binário: como discursos afetam o acesso de pessoas não-binárias a tratamentos de afirmação de gênero,2022,Artigo,Digital,,,Periódicus,A3,,UFBA,BH,Nordeste,2,Jude de Oliveira Bento da Silva,Carla Luã Eloi,,,,Gênero e sexualidade
https://acervodigital.ufpr.br/handle/1884/77788,Livre,"""Somos viantes, construimos vias"" : não binariedade, configurações subjetivas e identidade",2022,Dissertação,Digital,,UFPR,,,,,PR,Sul,1,Amanda Giulia Sartor,,,,,Psicologia
,,Algumas ferramentas queer para pensar modas não binárias,2022,Anais,Digital,,,,,,,CE,Nordeste,2,Natália Rosa Epaminondas,Paulo de Oliveira Rodrigues Junior,,,,Moda
https://editorarealize.com.br/artigo/visualizar/87538,Livre,Entre Adão E Eva Eu Sou A Cobra: A Não Binariedade Como Uma Identidade De Gênero (Tr)Ancestral,2022,Anais,Digital,,,,,,,MG,Sudeste,1,Lucas Silva Dantas,,,,,Gênero e sexualidade
https://www.elle-elu.com/product-page/aguaceiro-mugra-itakaru,Pago,aguaceiro,2023,Zine,Impresso,,Elle/elu,,,,,MG,Sudeste,1,Mugra Itakaru,,,,,Autobiográfico
https://www.revistaestudostransviades.com/ed-09,Livre,Editorial,2023,Editorial,Digital,,,Revista estudos transviades,Sem qualis,Transmasculinidades e não binariedades em perspectivas originárias,Independente,RJ,Sudeste,1,Thárcilo Luiz da Silva Hentzy,,,,,Estdos Trans
https://www.revistaestudostransviades.com/ed-09,Livre,Transcestralidades indígenas como ferrament de resistência contra o genocídio de identidades não-binárias na América Latina,2023,Artigo,Digital,,,Revista estudos transviades,Sem qualis,Transmasculinidades e não binariedades em perspectivas originárias,Independente,RJ,Sudeste,1,Vic Gualito (Nehnencayolotzin),,,,,Estdos Trans
https://www.revistaestudostransviades.com/ed-09,Livre,Não Respeita; Nem a terra vai respeitar meu pronome,2023,Artigo,Digital,,,Revista estudos transviades,Sem qualis,Transmasculinidades e não binariedades em perspectivas originárias,Independente,RJ,Sudeste,1,Pyxuá,,,,,Estdos Trans
https://www.revistaestudostransviades.com/ed-09,Livre,Nóyz: Orígynarys akylombano rap para reflorestar o jeito de amar,2023,Artigo,Digital,,,Revista estudos transviades,Sem qualis,Transmasculinidades e não binariedades em perspectivas originárias,Independente,RJ,Sudeste,1,Juão Augusto Rodriguez Kyntynu,,,,,Estdos Trans
https://sistemas.intercom.org.br/pdf/link_aceite/nacional/11/0816202315321264dd162cd2828.pdf,Livre,A plataformização de identidades de gênero não-binárias - a série Euphoria (HBO Max) como estudo de caso,2023,Anais,Digital,,,,,,,MG,Sudeste,2,Eduarda Motta,Larissa Pelúcio,,,,Comunicação
https://repositorio.ufsc.br/handle/123456789/251061,Livre,Gêneros desobedientes: a não-binariedade em perspectiva,2023,TCC,Digital,,UFSC,,,,,SC,Sul,1,Aleixo Fonseca Bueno dos Santos,,,,,Antropologia
https://repositorio.ufsc.br/handle/123456789/247558,Livre,"Proibição da linguagem neutra em Santa Catarina: a construção do pânico moral da criança, da língua portuguesa e da pessoa com deficiência em ameaça",2023,Dissertação,Digital,,UFSC,,,,,SC,Sul,1,Inaê Iabel Barbosa,,,,,Ciências Sociais
https://portalrevistas.ucb.br/index.php/esf/article/view/14310,Livre,Usos da linguagem neutra na comunicação de pessoas trans: um estudo exploratório,2023,Artigo,Digital,,,Esferas,A4,,UCB,,Centro Oeste,2,Ariel Ícaro Boraso Giagio,"Luis Mauro Sá Martino, Faculdade Cásper Líbero",,,,Comunicação
https://www.tjsc.jus.br/documents/715064/0/Volume+3_Completo_2023.pdf/959036f3-4f09-57ec-c12d-09c96a46d451?t=1679091616252,Livre,"Trâmites, trânsitos e esbarros da não binariedade no sistema jurídico",2023,Capítulo de Livro,Impresso,"Coleção Sistema de justiça, gêneros e diversidades: Estudos e práticas sobre os impactos da pandemia covid-19 na vida das mulheres e as relações de gêneros",Editora Academia Judicial,,,,,SC,Sul,3,Urse Lopes Brevilheri,Tuty Veloso Coura Guimarães,Brune Camillo Bonassi,,,Direito
https://www.queerlivros.com.br/genero/cutucando-o-cu-do-canone-insubmissoes-teoricas-e-desobediencias-epistemicas,Pago,Não-binariedade e pandemia: A produção de si,2023,Capítulo de Livro,Impresso,Cutucando o cu do cânone: insubmissões teóricas e desobediências epistêmicas,Devires,,,,,BH,Nordeste,1,HBlynda Morais,,,,,Gênero e sexualidade
https://www.queerlivros.com.br/genero/cutucando-o-cu-do-canone-insubmissoes-teoricas-e-desobediencias-epistemicas,Pago,E o que o cu tem haver com as calças?,2023,Capítulo de Livro,Impresso,Cutucando o cu do cânone: insubmissões teóricas e desobediências epistêmicas,,,,Dianna Maciel Dias,,BH,Nordeste,1,Diana Maciel Dias,,,,,Gênero e sexualidade
https://www.edupe.upe.br/index.php/catalogo/livros/ciencias-humanas/ensaios-por-uma-educacao-historica-decolonial-para-e-por-as-dissidencias-desde-pernambuco?highlight=WyJlbnNhaW9zIiwicG9yIiwidW1hIiwiZWR1Y2FcdTAwZTdcdTAwZTNvIiwiaGlzdFx1MDBmM3JpY2EiLCJkZWNvbG9uaWFsIiwicGFyYSIsImUiLCJwb3IiLCJhcyIsImRpc3NpZFx1MDBlYW5jaWFzIiwiZGUiLCJwZXJuYW1idWNvIl0= ,Pago,"A produção de si entre o afronte e a rebeldia: Nem homem, nem mulher, sou não-binária!",2023,Capítulo de Livro,Impresso,Ensaios por uma educação histórica decolonial para (e por) as dissidências de Pernambuco,EDUPE,,,,,PE,Nordeste,1,HBlynda Morais,,,,,Educação
"https://lojahucitec.com.br/produto/quilomba-feminista-mulheridades-e-transfeminilidades-negras-em-movimento-leticia-carolina-nascimento-megg-rayara-gomes-de-oliveira-miriam-cristiane-alves-paula-da-luz-galrao/#:~:text=O%20livro%20Quilomba%20Feminista%3A%20mulheridades,do%20(Trans)feminismo%20Negro.",Pago,Declaro-me em estado de desobediência: discutindo sobre a não binaridade e a produção de si.,2023,Capítulo de Livro,Impresso,Quilomba feminista: mulheridades e transfeminilidades negras em movimento,Hucitec,,,,,SP,Sudeste,1,HBlynda Morais,,,,,Gênero e racialidade
